               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11025,            0.020632,                   0,           0.0015459,             0.46377,           0.0024348,          0.00043109,            0.089547,            0.014858,                   0,            0.003268,            0.003268,            0.070588
                   1,            0.086093,            0.017966,                   0,           0.0030596,             0.91787,            0.059901,            0.011073,             0.07281,            0.012001,                   0,            0.006536,            0.006536,            0.040523
                   2,            0.073103,            0.017379,                   0,            0.086291,             0.24155,            0.060171,            0.014505,            0.078138,            0.010676,                   0,           0.0097379,           0.0097379,            0.010392
                   3,            0.064495,             0.01595,                   0,             0.35209,             0.48309,             0.37593,             0.13295,            0.054875,            0.011201,                   0,            0.009703,            0.009703,            0.009703
                   4,              0.0587,            0.014213,                   0,             0.41298,             0.39614,             0.36127,             0.12541,             0.05282,            0.010713,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.055052,            0.012709,                   0,             0.53463,             0.56522,             0.53308,             0.19521,            0.051666,           0.0090694,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.052572,            0.011854,                   0,             0.67946,             0.46377,             0.52537,             0.18507,            0.051599,           0.0089602,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.050862,              0.0116,                   0,             0.44776,              0.5288,             0.39505,             0.11444,            0.055308,             0.00857,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.050975,             0.01122,                   0,             0.70098,             0.57005,              0.6092,               0.244,            0.048431,           0.0083299,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.047786,            0.011227,                   0,             0.68098,               0.657,              0.6693,             0.24958,            0.047151,           0.0074915,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.048932,            0.010732,                   0,              0.6986,             0.61836,             0.66881,             0.26343,            0.047617,           0.0075766,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046395,            0.010094,                   0,             0.75248,             0.65217,             0.71205,             0.27365,             0.04716,           0.0074386,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.047368,            0.010547,                   0,             0.71084,             0.54628,             0.59631,              0.2347,            0.054191,           0.0075149,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.045613,           0.0098139,                   0,               0.743,             0.59903,             0.70548,             0.26016,            0.046722,            0.007479,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.044358,           0.0094761,                   0,             0.76496,             0.61836,             0.67911,             0.25808,            0.048158,           0.0070964,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.043926,           0.0095431,                   0,             0.79033,             0.67377,             0.74471,             0.30712,            0.045836,           0.0067369,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.044279,           0.0097782,                   0,             0.73912,             0.62959,             0.69002,             0.26959,            0.048655,           0.0071644,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.043895,             0.00914,                   0,             0.71672,             0.68116,             0.73592,             0.31656,             0.04696,           0.0066044,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.042553,           0.0099377,                   0,             0.71679,             0.71498,             0.70853,             0.25188,            0.048045,           0.0069811,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042789,            0.009154,                   0,             0.77601,             0.66667,             0.75228,             0.29926,            0.046656,           0.0067747,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.042686,           0.0092926,                   0,             0.77056,             0.69767,             0.73391,             0.29031,            0.045321,           0.0069541,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.041604,           0.0092667,                   0,             0.80238,             0.66688,             0.73994,             0.28623,            0.047575,           0.0071743,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.041634,           0.0091967,                   0,             0.72831,             0.62802,              0.6714,             0.25728,            0.049202,           0.0069185,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.042299,           0.0090749,                   0,             0.76529,             0.69307,             0.74478,             0.29808,            0.046177,           0.0070392,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.040896,           0.0088779,                   0,             0.68502,             0.68291,             0.67044,             0.28204,            0.046726,           0.0071333,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.039929,           0.0088457,                   0,             0.71432,             0.68854,             0.71416,             0.27205,            0.046985,           0.0071663,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.03917,           0.0087034,                   0,             0.73153,             0.71498,             0.71978,             0.30274,            0.046552,           0.0069113,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.040819,            0.008577,                   0,             0.71997,             0.72947,             0.75704,             0.29769,            0.046404,           0.0066099,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.038133,           0.0089638,                   0,             0.77504,             0.75362,             0.75463,             0.30273,            0.044652,           0.0066141,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.038995,           0.0087103,                   0,             0.72507,             0.78992,             0.75415,             0.30979,            0.045867,           0.0061431,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.038594,           0.0085859,                   0,             0.77349,             0.71981,             0.73438,             0.30447,            0.044881,           0.0066018,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.037072,           0.0086324,                   0,             0.76177,             0.74879,             0.75756,               0.326,             0.04449,           0.0065794,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.037818,           0.0084778,                   0,             0.84168,             0.62802,             0.71351,             0.28108,            0.047057,           0.0069474,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.037075,           0.0080633,                   0,             0.83247,             0.68599,              0.7464,             0.30633,            0.046447,           0.0065465,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.036156,            0.008181,                   0,             0.82319,               0.657,             0.74292,             0.30172,            0.046098,            0.006713,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.037624,           0.0081217,                   0,             0.72857,             0.76329,              0.7469,             0.29748,            0.046195,           0.0063861,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.037169,           0.0083311,                   0,              0.7376,             0.74396,              0.7756,             0.30919,            0.045571,           0.0065574,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.035408,           0.0081629,                   0,             0.71522,             0.71845,             0.73875,             0.28808,            0.047098,           0.0068358,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.035569,           0.0079413,                   0,             0.81939,             0.72464,             0.78024,             0.34322,            0.044481,           0.0065693,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.035997,           0.0083811,                   0,             0.78485,             0.73913,             0.77969,             0.30639,            0.045242,           0.0063507,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.036043,           0.0078905,                   0,              0.8159,             0.73913,             0.78151,             0.31982,            0.045618,           0.0065508,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.035728,           0.0081646,                   0,             0.78756,             0.73428,              0.7636,             0.31712,            0.045899,           0.0066345,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.034464,           0.0080532,                   0,              0.7435,             0.74879,             0.74916,             0.31633,            0.045093,           0.0066306,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.033848,           0.0075692,                   0,             0.74487,             0.73913,             0.75225,             0.31891,             0.04579,           0.0067541,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.035235,           0.0078462,                   0,             0.73429,             0.70531,              0.7162,             0.29916,            0.046982,            0.007054,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.033977,           0.0075101,                   0,              0.7799,             0.70184,             0.76344,             0.32887,             0.04543,           0.0063725,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.033854,           0.0078312,                   0,             0.73168,             0.71136,             0.71363,             0.31191,            0.045389,           0.0066379,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.033679,           0.0078248,                   0,             0.78766,             0.79227,             0.82317,             0.33966,            0.044367,           0.0062541,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.032547,           0.0074324,                   0,             0.76207,             0.73913,             0.75731,             0.31826,            0.044894,            0.006559,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.032258,           0.0077355,                   0,             0.80146,             0.72154,             0.73594,             0.30715,            0.045337,           0.0069013,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.03205,           0.0072824,                   0,             0.80411,             0.73371,             0.77669,             0.30753,            0.044832,           0.0065993,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.031775,           0.0075626,                   0,             0.78309,             0.77778,             0.79903,             0.31418,            0.044577,           0.0064788,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.032334,           0.0076368,                   0,             0.71625,             0.73165,             0.74004,             0.30201,            0.045748,           0.0066416,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.032101,           0.0078973,                   0,             0.81267,             0.77295,             0.80604,              0.3233,            0.045189,           0.0063914,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.031311,           0.0075667,                   0,             0.83084,             0.71185,             0.78188,             0.32486,            0.044747,           0.0066734,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.032016,           0.0072368,                   0,             0.72882,             0.76812,               0.763,             0.31853,             0.04488,           0.0066794,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.030796,            0.006949,                   0,             0.70941,             0.74396,             0.76429,             0.28806,            0.046708,           0.0067597,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.030601,            0.007054,                   0,             0.78344,             0.71014,             0.74403,             0.29957,            0.046023,           0.0068397,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.031286,           0.0068414,                   0,             0.78022,             0.74396,             0.77875,             0.32551,            0.045376,           0.0066108,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.030078,           0.0070406,                   0,              0.8154,             0.70419,              0.7727,             0.31034,            0.046208,           0.0066691,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.030216,           0.0070002,                   0,             0.81334,             0.76329,             0.80403,             0.33118,            0.045271,            0.006319,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.029195,           0.0070449,                   0,             0.78665,             0.71498,             0.76814,             0.33032,            0.044522,           0.0066995,                   0,             0.00406,             0.00406,             0.00406
                  62,              0.0294,           0.0069982,                   0,             0.79044,             0.72947,             0.77531,             0.33085,            0.045239,            0.006428,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.02955,           0.0070745,                   0,             0.76899,              0.7343,             0.75446,             0.32106,            0.045563,           0.0070543,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.029385,           0.0067468,                   0,             0.75954,             0.76699,             0.77299,             0.32506,            0.044832,           0.0066334,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.029244,           0.0068575,                   0,             0.78262,              0.7233,             0.76965,              0.3417,            0.045184,           0.0070736,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.028409,           0.0069708,                   0,             0.79786,             0.73913,             0.77259,               0.332,            0.045624,           0.0065849,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.029439,           0.0065458,                   0,             0.81128,             0.70609,             0.76091,             0.31545,            0.045979,           0.0073209,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.028704,           0.0067558,                   0,             0.78652,             0.78744,             0.78691,              0.3392,            0.043881,           0.0066445,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.027281,           0.0065715,                   0,             0.73061,             0.72947,             0.74318,             0.31818,            0.045821,           0.0072421,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.02754,           0.0064779,                   0,             0.79117,             0.77295,             0.81196,             0.34349,            0.044153,           0.0065763,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.027437,           0.0066509,                   0,             0.74712,             0.78744,             0.76682,             0.32375,            0.045386,           0.0065931,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.027855,             0.00662,                   0,             0.75261,             0.74953,             0.76967,             0.32969,            0.045243,           0.0069302,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.028238,           0.0066092,                   0,             0.78099,             0.76167,             0.79497,             0.32615,            0.045188,           0.0068156,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.027539,           0.0064116,                   0,             0.79175,              0.7163,             0.77354,             0.31844,            0.045934,            0.006925,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.027175,           0.0064687,                   0,             0.78105,             0.73913,             0.78623,             0.33037,            0.045651,           0.0067481,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.026267,           0.0064457,                   0,             0.79405,             0.79126,             0.81316,             0.34971,            0.044421,           0.0067452,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.026389,           0.0064087,                   0,             0.76399,             0.77295,             0.77489,             0.32104,            0.046145,           0.0070125,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.025636,            0.006647,                   0,             0.81848,             0.71882,             0.78988,             0.32466,            0.045379,           0.0066185,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.02566,           0.0060851,                   0,             0.82566,             0.74396,              0.7851,             0.33523,            0.045155,           0.0067495,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.025234,           0.0061555,                   0,             0.81502,             0.75243,             0.78566,              0.3267,            0.045523,           0.0070895,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.025273,           0.0062292,                   0,             0.76616,             0.76214,             0.79757,             0.33083,            0.045567,           0.0069763,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.025509,           0.0064502,                   0,             0.77668,             0.82609,              0.8282,             0.34287,            0.044726,           0.0066329,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.025246,           0.0066571,                   0,             0.73509,             0.80193,             0.79296,             0.33888,            0.044978,           0.0066771,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.025725,           0.0063458,                   0,             0.76918,             0.80495,              0.8016,             0.33242,            0.044445,           0.0069757,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.024626,           0.0059178,                   0,             0.76554,             0.78868,             0.80482,             0.34002,            0.044795,           0.0070082,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.024316,           0.0061519,                   0,             0.83901,             0.75362,             0.81433,             0.34723,             0.04457,           0.0068168,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.023634,           0.0058693,                   0,             0.74261,             0.78053,             0.77285,             0.33263,            0.045265,           0.0070733,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.024029,           0.0057413,                   0,             0.78164,             0.72816,             0.76331,             0.32221,            0.046036,           0.0074167,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.023936,           0.0060693,                   0,             0.79277,             0.76329,             0.79781,              0.3361,            0.045218,            0.006982,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.023899,           0.0062017,                   0,             0.79084,             0.80372,             0.81791,             0.34982,            0.044439,           0.0069549,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.023835,           0.0061234,                   0,             0.82559,              0.8004,               0.824,             0.35584,            0.044101,           0.0068763,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.023947,           0.0059958,                   0,             0.78548,             0.77778,             0.79332,             0.34733,            0.044741,            0.007089,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.023124,           0.0059838,                   0,             0.82094,             0.75306,             0.80312,             0.34124,            0.045046,           0.0070486,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.023312,           0.0057752,                   0,             0.82336,             0.74308,             0.79169,             0.33905,            0.045233,           0.0071741,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.022849,           0.0057114,                   0,              0.8348,             0.71981,             0.78826,             0.34132,            0.045032,           0.0071491,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.022587,           0.0057369,                   0,             0.81059,             0.74879,             0.80635,             0.34678,            0.045066,           0.0071291,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.022501,           0.0056553,                   0,             0.82629,             0.74879,             0.81265,             0.34037,            0.044961,           0.0070858,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.022939,           0.0058755,                   0,              0.8223,             0.75845,             0.82202,             0.34567,            0.045007,           0.0070332,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.023401,           0.0056976,                   0,             0.85016,             0.73913,             0.81297,             0.34022,            0.044999,           0.0070456,                   0,            0.000298,            0.000298,            0.000298
